rule_tag,manual_rows,tagged_rows,coverage_pct,failure_precision_pct,weak_or_bad_precision_pct,failure_recall_pct,weak_or_bad_recall_pct,untagged_failure_rate_pct,manual_failures_in_tagged_rows,manual_weak_or_bad_in_tagged_rows
common_word_mention,3000,19,0.6,89.5,100.0,1.3,1.0,44.7,17,19
family_mention_fanout,3000,170,5.7,80.0,95.3,10.1,8.2,42.9,136,162
short_mention_risk,3000,933,31.1,75.1,87.6,52.0,41.2,31.3,701,817
method_or_reagent_context,3000,74,2.5,73.0,79.7,4.0,3.0,44.3,54,59
negation_or_hedging,3000,117,3.9,61.5,76.1,5.3,4.5,44.3,72,89
mention_mismatch,3000,1594,53.1,60.0,78.4,70.9,63.1,27.9,957,1250
cohort_or_exposure_context,3000,225,7.5,50.2,71.1,8.4,8.1,44.5,113,160
mechanism_context,3000,949,31.6,49.5,71.4,34.8,34.2,42.9,470,678
biomarker_or_expression_context,3000,732,24.4,47.4,70.1,25.7,25.9,44.2,347,513
adverse_or_risk_context,3000,779,26.0,45.1,66.2,26.0,26.0,44.9,351,516
model_or_assay_context,3000,988,32.9,45.0,68.2,33.0,34.0,44.9,445,674
treatment_context,3000,863,28.8,42.2,60.5,27.0,26.3,46.1,364,522
list_or_cross_product_context,3000,222,7.4,38.3,58.6,6.3,6.6,45.5,85,130
generic_object,3000,75,2.5,24.0,84.0,1.3,3.2,45.5,18,63
